sample_index,route_distance_km,latitude,longitude,elevation_m,source
311,8.803888,40.6698004,-111.9103071,1298.437,USGS The National Map 3DEP
312,8.832288,40.6696801,-111.9100106,1298.377,USGS The National Map 3DEP
313,8.860688,40.6695618,-111.9097135,1298.454,USGS The National Map 3DEP
314,8.889087,40.6693773,-111.9094815,1298.757,USGS The National Map 3DEP
315,8.917487,40.6691622,-111.9093017,1298.976,USGS The National Map 3DEP
316,8.945887,40.6689287,-111.9091651,1298.944,USGS The National Map 3DEP
317,8.974286,40.6686815,-111.9090816,1298.762,USGS The National Map 3DEP
318,9.002686,40.6684298,-111.9090306,1298.586,USGS The National Map 3DEP
319,9.031086,40.6681749,-111.9090104,1298.601,USGS The National Map 3DEP
320,9.059485,40.6679196,-111.9090176,1298.721,USGS The National Map 3DEP
321,9.087885,40.6676642,-111.9090195,1298.729,USGS The National Map 3DEP
322,9.116284,40.6674091,-111.9090115,1298.407,USGS The National Map 3DEP
323,9.144684,40.6671545,-111.9089847,1298.286,USGS The National Map 3DEP
324,9.173084,40.6669003,-111.9089512,1298.085,USGS The National Map 3DEP
325,9.201483,40.6668603,-111.9087177,1298.140,USGS The National Map 3DEP
326,9.229883,40.6669113,-111.9083878,1298.098,USGS The National Map 3DEP
327,9.258283,40.6669717,-111.9080607,1298.065,USGS The National Map 3DEP
328,9.286682,40.6670312,-111.9077332,1297.933,USGS The National Map 3DEP
329,9.315082,40.6670919,-111.9074062,1297.831,USGS The National Map 3DEP
330,9.343482,40.6671597,-111.9070816,1297.703,USGS The National Map 3DEP
331,9.371881,40.6672242,-111.9067558,1297.394,USGS The National Map 3DEP
332,9.400281,40.6672817,-111.9064277,1297.293,USGS The National Map 3DEP
333,9.428680,40.6670719,-111.9063672,1296.879,USGS The National Map 3DEP
334,9.457080,40.6668169,-111.9063484,1297.259,USGS The National Map 3DEP
335,9.485480,40.6665618,-111.9063334,1297.977,USGS The National Map 3DEP
336,9.513879,40.6663066,-111.9063198,1297.317,USGS The National Map 3DEP
337,9.542279,40.6660519,-111.9062982,1298.300,USGS The National Map 3DEP
338,9.570679,40.6658016,-111.9062335,1298.206,USGS The National Map 3DEP
339,9.599078,40.6655589,-111.9061288,1298.124,USGS The National Map 3DEP
340,9.627478,40.6653174,-111.9060194,1297.949,USGS The National Map 3DEP
341,9.655878,40.6650746,-111.9059154,1297.951,USGS The National Map 3DEP
342,9.684277,40.6648265,-111.9058353,1297.819,USGS The National Map 3DEP
343,9.712677,40.6645737,-111.9057883,1297.654,USGS The National Map 3DEP
344,9.741077,40.6643209,-111.9057402,1297.581,USGS The National Map 3DEP
345,9.769476,40.6640667,-111.9057145,1297.536,USGS The National Map 3DEP
346,9.797876,40.6638114,-111.9057054,1297.665,USGS The National Map 3DEP
347,9.826275,40.6635571,-111.9056807,1297.807,USGS The National Map 3DEP
348,9.854675,40.6633072,-111.9056122,1297.822,USGS The National Map 3DEP
349,9.883075,40.6630646,-111.9055100,1297.756,USGS The National Map 3DEP
350,9.911474,40.6628313,-111.9053743,1297.613,USGS The National Map 3DEP
351,9.939874,40.6626078,-111.9052116,1297.500,USGS The National Map 3DEP
352,9.968274,40.6623957,-111.9050241,1297.492,USGS The National Map 3DEP
353,9.996673,40.6622068,-111.9047978,1297.821,USGS The National Map 3DEP
354,10.025073,40.6620197,-111.9045687,1298.359,USGS The National Map 3DEP
355,10.053473,40.6618236,-111.9043536,1298.952,USGS The National Map 3DEP
356,10.081872,40.6616113,-111.9041691,1299.504,USGS The National Map 3DEP
357,10.110272,40.6613763,-111.9040381,1300.131,USGS The National Map 3DEP
358,10.138671,40.6611332,-111.9039353,1301.188,USGS The National Map 3DEP
359,10.167071,40.6608786,-111.9039179,1302.980,USGS The National Map 3DEP
360,10.195471,40.6606233,-111.9039052,1304.644,USGS The National Map 3DEP
361,10.223870,40.6605109,-111.9037000,1304.675,USGS The National Map 3DEP
362,10.252270,40.6605090,-111.9033644,1305.247,USGS The National Map 3DEP
363,10.280670,40.6605420,-111.9030307,1306.753,USGS The National Map 3DEP
364,10.309069,40.6605830,-111.9026984,1308.271,USGS The National Map 3DEP
365,10.337469,40.6606290,-111.9023672,1309.130,USGS The National Map 3DEP
