,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
36,84611,26656,31855,32007,32567,34055,34311,35578,37003,37245,38058,38754,39543,40267,40884,42021,42483,43622,43742,44315,44733,44928,46026,46800,48454,49853,50043,50692,53008,53104,53228,53410,55324,56210,57377,60202,60383,60601,61172,61697,62402,63073,63952,66445,66552,66628,67720,68850,70981,71354,71437,73264,74934,76054,77335,77530,77890,80162,80616,81272
37,84631,26688,32044,32074,32658,34214,34383,35791,37113,37433,38124,38836,39629,40495,41112,42179,42541,43851,43852,44404,44954,45100,46230,46947,48669,50036,50217,50878,53130,53252,53465,53531,55434,56395,57612,60429,60592,60754,61404,61884,62613,63142,64040,66559,66667,66812,67933,68897,71064,71458,71579,73340,75080,76221,77386,77754,77946,80402,80767,81449
38,84601,26723,32111,32140,32770,34308,34521,35860,37220,37612,38194,38909,39707,40723,41319,42410,42616,44005,44044,44534,45073,45163,46301,47012,48715,50270,50440,50996,53207,53430,53611,53638,55585,56607,57847,60543,60782,60877,61604,62103,62656,63360,64098,66673,66829,66975,68022,69111,71297,71586,71799,73555,75206,76377,77446,77916,78146,80503,81003,81590
39,75341,26786,32260,32311,32896,34389,34768,36017,37300,37785,38357,39017,39893,40848,41437,42567,42873,44140,44170,44798,45213,45391,46599,47116,48972,50498,50642,51079,53503,53691,53874,53967,55700,56714,58132,60723,60951,61039,61743,62360,62774,63492,64328,66866,67047,67179,68268,69293,71501,71676,71983,73837,75300,76663,77535,78086,78299,80640,81202,81838
40,75061,26860,32465,32646,32971,34547,35044,36124,37444,37903,38456,39216,40078,41124,41663,42734,43003,44267,44379,45062,45353,45595,46727,47261,49094,50647,50888,51156,53647,53862,54050,54097,55976,56795,58394,60998,61179,61311,61961,62538,62956,63577,64536,67150,67279,67309,68436,69379,71660,71819,72242,73963,75566,76846,77693,78220,78408,80940,81386,82001
41,76289,26973,32778,32875,33257,34668,35262,36240,37681,38138,38602,39427,40403,41460,42014,43091,43243,44524,44701,45309,45574,45829,46963,47419,49244,51016,51176,51305,53893,54074,54242,54353,56171,56955,58765,61344,61463,61554,62310,62779,63070,63712,64827,67421,67540,67540,68732,69581,72001,72091,72410,74320,75898,77211,78026,78389,78529,81151,81759,82243
42,76129,27055,32922,33103,33409,34900,35449,36413,37921,38273,38724,39665,40659,41664,42112,43318,43356,44660,44807,45552,45733,45952,47232,47518,49372,51205,51272,51462,54160,54198,54415,54478,56388,57184,59026,61502,61635,61780,62484,62978,63280,63866,64947,67617,67798,67798,68866,69760,72168,72225,72499,74433,76056,77357,78139,78541,78663,81421,81914,82397
43,76119,27114,33159,33218,33532,35131,35602,36642,38160,38455,38828,39766,40873,41858,42310,43432,43531,44813,44994,45795,45972,46084,47421,47716,49479,51344,51488,51668,54283,54466,54602,54724,56605,57413,59169,61609,61766,61982,62669,63216,63508,63942,65091,67875,68040,68133,69041,69991,72405,72587,72588,74561,76144,77575,78309,78744,78799,81514,82177,82587
44,76051,27150,33264,33435,33742,35187,35716,36760,38379,38580,39049,39921,40946,42086,42391,43580,43709,45042,45207,45990,46031,46291,47645,47941,49550,51416,51650,51879,54521,54667,54767,54895,56695,57451,59404,61695,61910,62056,62840,63435,63682,64004,65143,68042,68174,68201,69090,70205,72638,72767,72827,74774,76250,77787,78472,78842,78955,81592,82281,82719
45,75009,27244,33458,33548,33834,35316,35879,36939,38675,38898,39243,40174,41253,42246,42696,43860,43930,45211,45417,46131,46249,46651,47944,48098,49831,51666,51798,51994,54841,54892,54983,55079,56965,57588,59688,62017,62136,62248,62997,63603,63878,64299,65274,68252,68478,68525,69270,70477,72823,72971,73052,74927,76500,77982,78727,79050,79277,81952,82566,83003
